user_id full_name email birth_date initial_cash_DKK created_at last_updated
1  Maria_Jensen  maria.jensen@email.com  12-04-1990  92098.0  01-03-2025  01-03-2025
2  Lars_Petersen  lars.p@email.com  19-07-1985  92318.0  02-03-2025  02-03-2025
3  Jakob_Madsen  jakob.madsen@email.com  03-11-1992  87808.75  03-03-2025  03-03-2025
4  Sofie_Sørensen  sofie.sorensen@email.com  27-02-1994  82487.0  04-03-2025  04-03-2025
5  Anders_Holm  anders.holm@email.com  22-05-1988  77637.5  05-03-2025  05-03-2025
6  Camilla_Kristensen  camilla.k@email.com  09-08-1995  87705.0  05-03-2025  05-03-2025
7  Emil_Thomsen  emil.thomsen@email.com  14-01-1983  79617.5  06-03-2025  06-03-2025
8  Freja_Østergaard  freja.ostergaard@email.com  02-12-1991  88553.0  06-03-2025  06-03-2025
9  Malthe_Lauridsen  malthe.l@email.com  25-09-1986  88220.0  07-03-2025  07-03-2025
10  Ida_Høeg  ida.hoeg@email.com  17-06-1993  83680.0  07-03-2025  07-03-2025
